City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mar Del Plata,AR,89.83,clear sky,-38.0023,-57.5575,Nuevo Ostende
2,Kapaa,US,79.12,moderate rain,22.0752,-159.319,Pono Kai Resort
3,Sechura,PE,76.39,few clouds,-5.5569,-80.8222,Hospedaje Claritza
7,Batticaloa,LK,76.75,overcast clouds,7.7102,81.6924,Lake View Hotel
10,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
19,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti International Resort
21,Koumac,NC,78.17,light rain,-20.5667,164.2833,Monitel Koumac
23,Avarua,CK,75.25,heavy intensity rain,-21.2078,-159.775,Paradise Inn
25,Rikitea,PF,75.54,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
38,Businga,CD,71.22,light rain,3.3333,20.8833,Hôtel Roho
46,Cockburn Town,TC,79.3,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
47,Luba,GQ,78.69,broken clouds,3.4568,8.5547,Hotel Jones
50,Atuona,PF,77.56,overcast clouds,-9.8,-139.0333,Pearl Resort
59,Cidreira,BR,72.48,overcast clouds,-30.1811,-50.2056,Hotel Castelo
61,Hualmay,PE,70.48,clear sky,-11.0964,-77.6139,Hotel Mi Choacan
74,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Sambor Sambat Guesthouse
82,Faanui,PF,79.61,light rain,-16.4833,-151.75,Oa Oa Lodge
89,Champerico,GT,91.94,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
93,Norman,US,74.17,clear sky,35.2226,-97.4395,Days Inn by Wyndham Norman
95,Chuy,UY,72.9,clear sky,-33.6971,-53.4616,Alerces
99,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
105,Bubaque,GW,80.6,light rain,11.2833,-15.8333,Chez Julio
111,San Cristobal,VE,71.78,broken clouds,7.7669,-72.225,Terra Sur
112,Castro,BR,71.89,broken clouds,-24.7911,-50.0119,Hotel Central Palace
116,Weligama,LK,75.24,overcast clouds,5.9667,80.4167,Basecamp
117,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
123,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Fidji Motel
124,Mananara,MG,73.35,broken clouds,-16.1667,49.7667,Chez Roger
127,Mananjary,MG,74.05,overcast clouds,-21.2167,48.3333,Ideal Hotel Annexe
130,Takoradi,GH,79.86,broken clouds,4.8845,-1.7554,Hillcrest
137,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,Ibis Styles
141,Vanimo,PG,77.45,light rain,-2.6741,141.3028,CBC Guesthouse
143,Waingapu,ID,77.5,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
146,Kavieng,PG,81.21,overcast clouds,-2.5744,150.7967,Kavieng Hotel
150,Suarez,CO,72.72,broken clouds,2.954,-76.6964,El sol
156,Diamantino,BR,75.94,light rain,-14.4086,-56.4461,Hotel kayaby
157,Hithadhoo,MV,81.19,overcast clouds,-0.6,73.0833,Pebbles Inn
163,Bac Lieu,VN,78.31,overcast clouds,9.285,105.7244,Khách sạn Bạc Liêu
164,Ayorou,NE,85.66,overcast clouds,14.7308,0.9174,Hotel Aminokal
167,Eyl,SO,77.72,overcast clouds,7.9803,49.8164,فندق ايل دابي
169,Porbandar,IN,70.83,clear sky,21.6422,69.6093,Toran Tourist Bungalow
170,Sangmelima,CM,71.69,scattered clouds,2.9333,11.9833,Hôtel l'Afamba
173,Georgetown,MY,81.23,thunderstorm,5.4112,100.3354,Page 63 hostel
176,Chiredzi,ZW,79.86,scattered clouds,-21.05,31.6667,Nesbitt Arms Hotel
182,Quatre Cocos,MU,75.31,light rain,-20.2078,57.7625,Horisun
193,Phangnga,TH,75.24,broken clouds,8.4509,98.5298,Hotel
194,The Valley,AI,80.46,few clouds,18.217,-63.0578,CeBlue
211,Araceli,PH,82.65,overcast clouds,10.5529,119.9913,ARPA Lodge
217,Cayenne,GF,80.64,heavy intensity rain,4.9333,-52.3333,Central Hôtel
218,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Grand Bel Air
225,Karratha,AU,80.37,clear sky,-20.7377,116.8463,Karratha International Hotel
226,Biltine,TD,72.37,clear sky,14.5333,20.9167,فندق ثلاث نجوم بلتن
229,Chake Chake,TZ,76.55,broken clouds,-5.2459,39.7666,Annex Pemba Hotel
233,Conakry,GN,82.2,few clouds,9.538,-13.6773,Hotel del Fanta (sleazy but rooms for 100k or even less)
235,La Carlota,PH,76.01,broken clouds,10.4233,122.9208,Escalera Pension House
240,Antalaha,MG,75.22,scattered clouds,-14.9003,50.2788,Hôtel Florida
248,Necochea,AR,93.72,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
251,Jeremie,HT,79.77,clear sky,18.65,-74.1167,Delivrance Hotel
253,Savannah Bight,HN,81.73,clear sky,16.45,-85.85,La Giralda
