City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2022-12-02 02:24:29,22.0752,-159.319,80.92,60,0,13.8
1,Chuy,UY,2022-12-02 02:24:30,-33.6971,-53.4616,68.16,98,48,4.25
2,Namibe,AO,2022-12-02 02:24:30,-15.1961,12.1522,68.9,81,99,7.67
3,Jamestown,US,2022-12-02 02:20:41,42.097,-79.2353,31.59,85,100,9.22
4,Upernavik,GL,2022-12-02 02:24:31,72.7868,-56.1549,-3.41,100,30,17.29
5,Atuona,PF,2022-12-02 02:21:42,-9.8,-139.0333,78.13,69,1,18.88
6,Lebu,CL,2022-12-02 02:24:31,-37.6167,-73.65,53.47,80,1,18.07
7,Omachi,JP,2022-12-02 02:24:31,36.5,137.8667,41.74,63,86,1.61
8,Hermanus,ZA,2022-12-02 02:24:31,-34.4187,19.2345,60.8,83,97,12.88
9,Qaanaaq,GL,2022-12-02 02:24:32,77.484,-69.3632,-24.77,73,0,8.1
10,Mataura,NZ,2022-12-02 02:24:32,-46.1927,168.8643,50.49,61,95,9.01
11,Esperance,AU,2022-12-02 02:24:32,-33.8667,121.9,66.9,74,73,14.76
12,Nemuro,JP,2022-12-02 02:24:33,43.3236,145.575,29.97,43,3,12.37
13,Vaini,TO,2022-12-02 02:24:33,-21.2,-175.2,86.16,74,75,4.61
14,New Norfolk,AU,2022-12-02 02:24:33,-42.7826,147.0587,69.89,34,23,3.11
15,Olafsvik,IS,2022-12-02 02:24:33,64.8945,-23.7142,42.66,79,98,23.22
16,Saint-Philippe,RE,2022-12-02 02:24:34,-21.3585,55.7679,74.79,80,7,3.6
17,Leshan,CN,2022-12-02 02:24:34,29.5623,103.7639,43.32,76,9,1.19
18,Avarua,CK,2022-12-02 02:24:34,-21.2078,-159.775,82.45,83,75,6.91
19,Berlevag,NO,2022-12-02 02:24:34,70.8578,29.0864,33.8,86,100,9.22
20,Ushuaia,AR,2022-12-02 02:24:35,-54.8,-68.3,53.26,54,75,5.75
21,Honiara,SB,2022-12-02 02:24:35,-9.4333,159.95,83.01,80,100,5.17
22,Urucara,BR,2022-12-02 02:24:35,-2.5364,-57.76,75.81,88,96,2.26
23,Tecpan,GT,2022-12-02 02:24:35,14.7623,-90.9947,53.89,96,49,6.51
24,Port Alfred,ZA,2022-12-02 02:24:36,-33.5906,26.891,66.18,87,91,4.0
25,Victor Harbor,AU,2022-12-02 02:24:36,-35.5667,138.6167,83.68,65,0,1.01
26,Tuktoyaktuk,CA,2022-12-02 02:24:36,69.4541,-133.0374,1.4,85,100,21.85
27,Lodwar,KE,2022-12-02 02:24:37,3.1191,35.5973,78.76,49,89,4.45
28,Rikitea,PF,2022-12-02 02:24:37,-23.1203,-134.9692,75.06,76,30,10.76
29,Rafai,CF,2022-12-02 02:24:37,4.95,23.9167,68.32,97,94,2.59
30,Coquimbo,CL,2022-12-02 02:24:37,-29.9533,-71.3436,58.73,94,20,6.91
31,Sitka,US,2022-12-02 02:24:38,57.0531,-135.33,30.09,74,100,3.44
32,Cayenne,GF,2022-12-02 02:23:27,4.9333,-52.3333,75.24,94,100,2.3
33,Punta Arenas,CL,2022-12-02 02:23:52,-53.15,-70.9167,51.91,66,75,25.32
34,Abu Dhabi,AE,2022-12-02 02:24:38,24.4667,54.3667,74.97,69,20,1.14
35,Albany,US,2022-12-02 02:22:18,42.6001,-73.9662,35.58,63,94,1.01
36,Nanortalik,GL,2022-12-02 02:24:38,60.1432,-45.2371,22.48,70,31,11.01
37,Cidreira,BR,2022-12-02 02:24:38,-30.1811,-50.2056,72.09,95,100,13.76
38,Chapais,CA,2022-12-02 02:24:39,49.7834,-74.8492,17.38,90,100,11.74
39,Bluff,NZ,2022-12-02 02:24:39,-46.6,168.3333,50.81,55,66,16.53
40,Puerto Baquerizo Moreno,EC,2022-12-02 02:24:16,-0.9,-89.6,68.92,78,80,11.92
41,Hithadhoo,MV,2022-12-02 02:24:39,-0.6,73.0833,81.07,68,5,7.2
42,Chama,CH,2022-12-02 02:24:40,47.1821,8.4636,38.77,89,100,0.0
43,Clyde River,CA,2022-12-02 02:24:40,70.4692,-68.5914,-10.97,77,100,2.3
44,Dikson,RU,2022-12-02 02:24:40,73.5069,80.5464,26.01,97,100,14.34
45,Klaksvik,FO,2022-12-02 02:25:40,62.2266,-6.589,50.92,96,100,31.88
46,Busselton,AU,2022-12-02 02:25:41,-33.65,115.3333,70.25,50,0,5.1
47,Mbanza-Ngungu,CD,2022-12-02 02:25:41,-5.25,14.8667,66.69,96,100,2.17
48,Port Macquarie,AU,2022-12-02 02:23:22,-31.4333,152.9167,69.89,61,100,15.08
49,Marawi,PH,2022-12-02 02:25:41,7.9986,124.2928,80.31,65,95,3.53
50,Ketchikan,US,2022-12-02 02:25:42,55.3422,-131.6461,19.87,79,0,3.44
51,Saldanha,ZA,2022-12-02 02:25:42,-33.0117,17.9442,61.77,86,22,10.74
52,Kudahuvadhoo,MV,2022-12-02 02:25:42,2.6708,72.8944,78.85,77,8,3.62
53,Sembe,CG,2022-12-02 02:25:42,1.6481,14.5806,69.26,97,100,1.77
54,Yellowknife,CA,2022-12-02 02:25:43,62.456,-114.3525,-25.08,75,40,5.75
55,Saskylakh,RU,2022-12-02 02:25:43,71.9167,114.0833,-14.75,100,100,2.8
56,Kangaatsiaq,GL,2022-12-02 02:25:43,68.3065,-53.4641,12.02,88,55,21.18
57,Thompson,CA,2022-12-02 02:25:44,55.7435,-97.8558,-23.64,76,20,5.75
58,Guerrero Negro,MX,2022-12-02 02:25:44,27.9769,-114.0611,59.74,75,23,10.71
59,Barrow,US,2022-12-02 02:25:44,71.2906,-156.7887,21.22,93,100,14.97
60,Butaritari,KI,2022-12-02 02:25:44,3.0707,172.7902,81.93,73,18,19.22
61,Yumaguzino,RU,2022-12-02 02:25:45,52.9041,56.3933,0.05,93,69,3.62
62,Christiana,ZA,2022-12-02 02:25:45,-27.914,25.1611,74.14,42,97,5.84
63,Bethel,US,2022-12-02 02:25:45,41.3712,-73.414,35.76,63,0,4.61
64,Mar Del Plata,AR,2022-12-02 02:25:45,-38.0023,-57.5575,62.1,90,75,10.0
65,Avera,US,2022-12-02 02:25:46,33.194,-82.5271,38.71,47,91,6.31
66,Provideniya,RU,2022-12-02 02:25:46,64.3833,-173.3,35.71,93,100,13.42
67,Pacific Grove,US,2022-12-02 02:25:46,36.6177,-121.9166,47.88,89,100,5.75
68,Hobart,AU,2022-12-02 02:22:00,-42.8794,147.3294,70.23,52,75,5.75
69,Raga,SS,2022-12-02 02:25:46,8.4596,25.678,73.87,34,58,2.59
70,Price,US,2022-12-02 02:21:28,39.5994,-110.8107,33.06,40,100,0.0
71,Bolitoc,PH,2022-12-02 02:25:47,15.7395,119.8769,87.57,51,100,5.5
72,Bridlington,GB,2022-12-02 02:25:47,54.0831,-0.1919,38.89,83,97,1.7
73,Lincoln,US,2022-12-02 02:21:03,40.8,-96.667,44.29,55,0,17.27
74,Puerto Ayora,EC,2022-12-02 02:25:47,-0.7393,-90.3518,69.55,90,87,5.01
75,Ixtapa,MX,2022-12-02 02:25:48,20.7,-105.2,77.23,88,40,1.01
76,Bolshaya Sosnova,RU,2022-12-02 02:25:48,57.6713,54.6029,-3.55,98,5,4.47
77,Tasiilaq,GL,2022-12-02 02:25:48,65.6145,-37.6368,33.96,70,10,5.46
78,Panama City,PA,2022-12-02 02:25:48,8.9936,-79.5197,77.29,87,20,2.3
79,Santa Cruz,BO,2022-12-02 02:22:06,-17.8,-63.1667,74.66,78,75,3.44
80,Carnarvon,AU,2022-12-02 02:25:49,-24.8667,113.6333,75.02,62,3,11.48
81,Xai-Xai,MZ,2022-12-02 02:25:49,-25.0519,33.6442,67.87,91,6,1.36
82,Kaitangata,NZ,2022-12-02 02:25:49,-46.2817,169.8464,50.41,73,98,13.13
83,Leningradskiy,RU,2022-12-02 02:25:50,69.3833,178.4167,28.72,85,100,7.16
84,Kokopo,PG,2022-12-02 02:25:50,-4.352,152.2633,85.53,67,100,11.16
85,Awjilah,LY,2022-12-02 02:25:50,29.1081,21.2869,55.71,50,22,6.04
86,Quatre Cocos,MU,2022-12-02 02:25:50,-20.2078,57.7625,74.08,77,59,6.42
87,Beziers,FR,2022-12-02 02:21:24,43.3476,3.219,39.88,100,100,4.61
88,Shellbrook,CA,2022-12-02 02:22:03,53.2168,-106.4011,-10.17,99,100,3.78
89,Halifax,CA,2022-12-02 02:22:01,44.6453,-63.5724,35.6,75,12,11.5
90,Deputatskiy,RU,2022-12-02 02:25:51,69.3,139.9,-16.31,93,100,9.78
91,Zhigansk,RU,2022-12-02 02:25:51,66.7697,123.3711,-19.8,98,100,8.21
92,Faanui,PF,2022-12-02 02:26:51,-16.4833,-151.75,81.05,78,13,17.34
93,Yokadouma,CM,2022-12-02 02:26:52,3.5167,15.05,71.01,84,100,1.66
94,Bendigo,AU,2022-12-02 02:26:52,-36.7667,144.2833,76.64,46,0,1.99
95,Arraial Do Cabo,BR,2022-12-02 02:26:52,-22.9661,-42.0278,73.36,94,75,21.85
96,Khani,GE,2022-12-02 02:26:52,41.9563,42.9566,42.37,73,100,5.95
97,Ostrovnoy,RU,2022-12-02 02:26:53,68.0531,39.5131,26.89,92,100,10.69
98,Beringovskiy,RU,2022-12-02 02:26:53,63.05,179.3167,34.65,99,100,10.49
99,Araouane,ML,2022-12-02 02:26:53,18.9048,-3.5265,70.57,16,48,8.28
100,Romny,UA,2022-12-02 02:26:53,50.751,33.4747,28.6,47,100,13.2
101,Ibanda,TZ,2022-12-02 02:26:54,-2.7974,32.4746,64.36,93,100,5.86
102,Rabak,SD,2022-12-02 02:26:54,13.1809,32.74,77.02,23,2,13.76
103,Cape Town,ZA,2022-12-02 02:23:13,-33.9258,18.4232,63.91,86,75,5.75
104,Pisco,PE,2022-12-02 02:26:54,-13.7,-76.2167,66.25,82,0,6.91
105,Krasnorechenskiy,RU,2022-12-02 02:26:55,44.6265,135.3532,5.14,66,44,10.25
106,Fairbanks,US,2022-12-02 02:26:55,64.8378,-147.7164,-0.08,83,40,0.0
107,Kuytun,RU,2022-12-02 02:26:55,54.3419,101.5036,-4.9,86,100,10.71
108,Pimenta Bueno,BR,2022-12-02 02:26:55,-11.6725,-61.1936,72.63,98,100,6.89
109,Ponta Do Sol,PT,2022-12-02 02:26:56,32.6667,-17.1,67.01,73,16,7.31
110,Port Lincoln,AU,2022-12-02 02:26:56,-34.7333,135.8667,71.24,58,0,11.3
111,Port Elizabeth,ZA,2022-12-02 02:23:22,-33.918,25.5701,64.31,95,40,7.0
112,Lavrentiya,RU,2022-12-02 02:26:56,65.5833,-171.0,33.12,99,100,13.56
113,Mahanje,TZ,2022-12-02 02:26:57,-9.9333,35.3333,63.57,93,100,2.89
114,Xingyi,CN,2022-12-02 02:26:57,24.1877,102.817,55.18,88,100,4.38
115,Vasto,IT,2022-12-02 02:26:57,42.1243,14.7059,47.14,78,18,4.38
116,Ilulissat,GL,2022-12-02 02:26:57,69.2167,-51.1,-7.37,75,11,9.06
117,Lorengau,PG,2022-12-02 02:26:58,-2.0226,147.2712,83.77,72,99,4.23
118,Beloha,MG,2022-12-02 02:26:58,-25.1667,45.05,70.41,91,82,6.15
119,Xichang,CN,2022-12-02 02:26:58,27.8964,102.2634,52.95,64,13,1.63
120,Cabo San Lucas,MX,2022-12-02 02:26:58,22.8909,-109.9124,76.51,81,0,0.0
