City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Hardy,CA,50.6996,-127.4199,35.78,93,75,0.0,broken clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,89.83,77,0,20.0,clear sky
2,Kapaa,US,22.0752,-159.319,79.12,83,100,12.66,moderate rain
3,Sechura,PE,-5.5569,-80.8222,76.39,58,12,14.63,few clouds
4,Albany,US,42.6001,-73.9662,42.73,47,100,1.01,overcast clouds
5,Mataura,NZ,-46.1927,168.8643,50.49,99,100,2.13,overcast clouds
6,Lavumisa,SZ,-27.31,31.892,67.39,96,100,5.68,light rain
7,Batticaloa,LK,7.7102,81.6924,76.75,84,95,7.85,overcast clouds
8,Tongliao,CN,43.6125,122.2653,8.4,59,0,9.66,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,50.11,40,40,19.57,scattered clouds
10,Hilo,US,19.7297,-155.09,82.27,76,100,7.0,overcast clouds
11,Port Elizabeth,ZA,-33.918,25.5701,61.32,91,3,3.0,clear sky
12,Klaksvik,FO,62.2266,-6.589,40.12,65,90,26.4,overcast clouds
13,Shingu,JP,33.7333,135.9833,44.47,87,54,6.38,broken clouds
14,Tubigan,PH,8.5322,124.3122,71.89,82,70,2.59,broken clouds
15,San Francisco,US,37.7749,-122.4194,61.95,75,75,13.8,broken clouds
16,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,40,18.41,light rain
17,Coquimbo,CL,-29.9533,-71.3436,65.93,72,40,9.22,scattered clouds
18,Yellowknife,CA,62.456,-114.3525,-22.45,69,20,10.36,few clouds
19,Vaini,TO,-21.2,-175.2,82.56,78,40,8.05,light rain
20,Sergeyevka,KZ,53.88,67.4158,-7.56,99,10,2.68,clear sky
21,Koumac,NC,-20.5667,164.2833,78.17,86,100,8.01,light rain
22,Whitianga,NZ,-36.8333,175.7,65.64,60,94,5.86,overcast clouds
23,Avarua,CK,-21.2078,-159.775,75.25,88,100,8.05,heavy intensity rain
24,Yushan,CN,31.3776,120.9543,41.99,74,1,4.21,clear sky
25,Rikitea,PF,-23.1203,-134.9692,75.54,81,98,13.96,overcast clouds
26,Kidal,ML,18.4411,1.4078,80.76,14,100,10.31,overcast clouds
27,Sorland,NO,67.667,12.6934,39.06,83,100,41.27,light rain
28,Lebu,CL,-37.6167,-73.65,63.18,69,2,6.24,clear sky
29,Luwingu,ZM,-10.2621,29.9271,63.59,87,100,5.5,overcast clouds
30,Talnakh,RU,69.4865,88.3972,25.21,96,100,13.44,snow
31,Marrakesh,MA,31.6315,-8.0083,59.07,72,40,5.75,scattered clouds
32,Severo-Kurilsk,RU,50.6789,156.125,23.31,75,100,24.4,light snow
33,Busselton,AU,-33.65,115.3333,55.94,74,0,11.92,clear sky
34,Butaritari,KI,3.0707,172.7902,80.92,80,100,15.75,light rain
35,Aktau,KZ,43.65,51.2,9.18,44,0,3.27,clear sky
36,Penarroya-Pueblonuevo,ES,38.3,-5.2667,52.02,92,100,7.9,overcast clouds
37,Ligayan,PH,4.6533,119.4706,81.88,75,43,4.16,scattered clouds
38,Businga,CD,3.3333,20.8833,71.22,95,94,4.34,light rain
39,Olafsvik,IS,64.8945,-23.7142,39.54,77,18,4.05,few clouds
40,Luderitz,NA,-26.6481,15.1594,61.38,68,3,20.74,clear sky
41,Husavik,IS,66.0449,-17.3389,31.28,80,94,10.27,overcast clouds
42,Pisco,PE,-13.7,-76.2167,69.85,78,0,8.05,clear sky
43,Hobart,AU,-42.8794,147.3294,54.27,66,75,13.8,broken clouds
44,Cape Town,ZA,-33.9258,18.4232,64.35,67,86,5.99,overcast clouds
45,Petrovsk,RU,52.3064,45.3917,10.67,78,14,3.87,few clouds
46,Cockburn Town,TC,21.4612,-71.1419,79.3,62,37,20.51,scattered clouds
47,Luba,GQ,3.4568,8.5547,78.69,76,78,7.16,broken clouds
48,Lompoc,US,34.6391,-120.4579,64.53,64,0,11.5,clear sky
49,Luang Prabang,LA,19.8856,102.1347,68.52,88,74,1.61,broken clouds
50,Atuona,PF,-9.8,-139.0333,77.56,75,92,15.95,overcast clouds
51,Khatanga,RU,71.9667,102.5,-27.74,100,15,4.79,few clouds
52,Kabare,CD,-2.4683,28.8242,58.78,96,92,0.22,overcast clouds
53,Narsaq,GL,60.9167,-46.05,43.02,71,73,10.89,broken clouds
54,Maralal,KE,1.0968,36.698,58.21,83,100,5.7,light rain
55,Sobolevo,RU,54.4299,31.8996,16.27,88,100,10.09,overcast clouds
56,Yuancheng,CN,36.652,107.7896,27.12,61,100,2.13,overcast clouds
57,Longyearbyen,SJ,78.2186,15.6401,8.44,66,75,26.46,light snow
58,Bluff,NZ,-46.6,168.3333,50.81,71,76,8.57,broken clouds
59,Cidreira,BR,-30.1811,-50.2056,72.48,88,97,9.62,overcast clouds
60,Kodiak,US,57.79,-152.4072,38.71,93,100,11.5,overcast clouds
61,Hualmay,PE,-11.0964,-77.6139,70.48,73,9,10.02,clear sky
62,Beloha,MG,-25.1667,45.05,79.39,66,3,8.5,clear sky
63,Guerrero Negro,MX,27.9769,-114.0611,68.16,65,8,16.8,clear sky
64,Jamestown,US,42.097,-79.2353,46.04,26,0,10.36,clear sky
65,Nikolskoye,RU,59.7035,30.7861,22.91,93,100,6.96,overcast clouds
66,Kargasok,RU,59.0556,80.8572,-0.94,96,100,7.0,overcast clouds
67,Clyde River,CA,70.4692,-68.5914,14.23,100,100,0.0,light snow
68,Coihaique,CL,-45.5752,-72.0662,58.95,55,75,9.22,light rain
69,Korla,CN,41.7597,86.1469,22.66,39,44,4.76,scattered clouds
70,Ust-Nera,RU,64.5667,143.2,-42.41,98,99,2.33,overcast clouds
71,Sanmenxia,CN,34.7747,111.1814,36.63,55,79,1.43,broken clouds
72,Bredasdorp,ZA,-34.5322,20.0403,59.59,66,100,1.34,overcast clouds
73,Kaitangata,NZ,-46.2817,169.8464,46.94,92,100,5.82,overcast clouds
74,Kampot,KH,10.6167,104.1833,78.85,91,97,4.81,overcast clouds
75,Hobyo,SO,5.3505,48.5268,80.01,78,100,16.53,overcast clouds
76,Jiazi,CN,22.8779,116.067,56.59,70,100,12.06,overcast clouds
77,Healdsburg,US,38.6105,-122.8692,59.88,71,40,12.66,scattered clouds
78,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,83,70,12.88,light rain
